Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,split_k_mode,m,n,k,A,B,C,alpha,beta,split_k_slices,batch_count,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:column,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,33554432,17188257792,512,0.230492,135.579,74572
1,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,33554432,17188257792,512,0.232202,134.581,74022.8
1,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:column,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,33554432,17188257792,512,0.240824,129.763,71372.6
1,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:row,f32:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,33554432,17188257792,512,0.226888,137.733,75756.7
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:column,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,25165824,17188257792,683,0.225311,104.023,76286.9
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,25165824,17188257792,683,0.227564,102.993,75531.7
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:column,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,25165824,17188257792,683,0.227809,102.882,75450.2
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:row,f16:column,1,0,1,1,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,25165824,17188257792,683,0.220436,106.323,77973.7
2,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:column,f32:column,1,0,1,2,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,67108864,34376515584,512,0.460431,135.742,74661.5
2,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f32:column,1,0,1,2,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,67108864,34376515584,512,0.461373,135.465,74509.1
2,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:column,f32:column,1,0,1,2,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,67108864,34376515584,512,0.48,130.208,71617.7
2,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,2048,f16:row,f16:row,f32:column,1,0,1,2,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,67108864,34376515584,512,0.454502,137.513,75635.5
2,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:column,f16:column,1,0,1,2,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,50331648,34376515584,683,0.447785,104.682,76770.1
2,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2048,f16:column,f16:row,f16:column,1,0,1,2,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,50331648,34376515584,683,0.450765,103.99,76262.6
