Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,split_k_mode,m,n,k,A,B,C,alpha,beta,split_k_slices,batch_count,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,1,f16:column,f16:row,f32:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4297064448,4294967296,0,5.41899,738.506,792.577
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,1,f16:column,f16:row,f16:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2149580800,4294967296,1,4.00176,500.268,1073.27
2,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2,f16:column,f16:row,f32:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4299161600,6442450944,1,5.49568,728.556,1172.28
2,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2,f16:column,f16:row,f16:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2151677952,6442450944,2,4.00976,499.757,1606.69
3,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,4,f16:column,f16:row,f32:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4303355904,10737418240,2,5.58667,717.389,1921.97
3,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,4,f16:column,f16:row,f16:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2155872256,10737418240,4,4.00791,500.963,2679.06
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,8,f16:column,f16:column,f32:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4311744512,19327352832,4,5.57853,719.836,3464.6
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,8,f16:column,f16:row,f32:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4311744512,19327352832,4,5.6434,711.562,3424.77
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,8,f16:row,f16:column,f32:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4311744512,19327352832,4,5.59015,718.34,3457.39
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,8,f16:row,f16:row,f32:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4311744512,19327352832,4,5.64203,711.735,3425.61
4,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,8,f16:column,f16:column,f16:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2164260864,19327352832,8,4.00808,502.891,4822.1
4,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,8,f16:column,f16:row,f16:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2164260864,19327352832,8,4.00364,503.449,4827.45
4,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,8,f16:row,f16:column,f16:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2164260864,19327352832,8,4.00004,503.901,4831.79
4,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,8,f16:row,f16:row,f16:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2164260864,19327352832,8,3.99797,504.162,4834.29
5,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,16,f16:column,f16:column,f32:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4328521728,36507222016,8,5.73525,702.89,6365.41
5,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,16,f16:column,f16:row,f32:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4328521728,36507222016,8,5.78911,696.35,6306.19
5,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,16,f16:row,f16:column,f32:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4328521728,36507222016,8,5.59325,720.735,6527.01
5,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,16,f16:row,f16:row,f32:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,4328521728,36507222016,8,5.77971,697.483,6316.44
5,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,16,f16:column,f16:column,f16:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2181038080,36507222016,16,3.99916,507.919,9128.72
5,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,16,f16:column,f16:row,f16:column,1,0,1,256,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2181038080,36507222016,16,4.01076,506.45,9102.31
