Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,split_k_mode,m,n,k,A,B,C,alpha,beta,split_k_slices,batch_count,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,1,f16:column,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2148532224,2147483648,0,2.72054,735.506,789.359
1,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,1,f16:column,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1074790400,2147483648,1,2.00483,499.283,1071.16
2,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2,f16:column,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2149580800,3221225472,1,2.73909,730.883,1176.02
2,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,2,f16:column,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1075838976,3221225472,2,2.00511,499.699,1606.5
3,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,4,f16:column,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2151677952,5368709120,2,2.77637,721.772,1933.71
3,CUTLASS,gemm,cutlass_tensorop_f16_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,4,f16:column,f16:row,f16:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,1077936128,5368709120,4,2.01076,499.268,2669.99
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nn_align8,passed,success,universal,serial,2048,2048,8,f16:column,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2155872256,9663676416,4,2.78822,720.106,3465.9
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_nt_align8,passed,success,universal,serial,2048,2048,8,f16:column,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2155872256,9663676416,4,2.82498,710.735,3420.79
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tn_align8,passed,success,universal,serial,2048,2048,8,f16:row,f16:column,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2155872256,9663676416,4,2.81117,714.227,3437.6
4,CUTLASS,gemm,cutlass_tensorop_s884gemm_f16_256x128_32x2_tt_align8,passed,success,universal,serial,2048,2048,8,f16:row,f16:row,f32:column,1,0,1,128,tensorop,f32,256,128,32,1,1,1,2,4,2,1,16,16,4,70,75,2155872256,9663676416,4,2.82321,711.181,3422.94
